pincode,district,state,severity,Criticality_Index
506345,JAYASHANKAR BHUPALAPALLY,TELANGANA,Extreme,45.75
515865,ANANTAPUR,ANDHRA PRADESH,Extreme,45.52
515001,ANANTAPUR,ANDHRA PRADESH,Extreme,45.46
509325,RANGA REDDY,TELANGANA,Extreme,45.43
515511,Sri Sathya Sai,ANDHRA PRADESH,Extreme,45.11
506134,MAHABUBABAD,TELANGANA,Extreme,44.9
506002,HANUMAKONDA,TELANGANA,Extreme,44.68
506142,HANUMAKONDA,TELANGANA,Extreme,44.44
605107,PONDICHERRY,PUDUCHERRY,Extreme,44.34
500078,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,44.33
509408,RANGA REDDY,TELANGANA,Extreme,44.28
754141,KENDRAPARA,ODISHA,Extreme,44.26
737134,SOUTH DISTRICT,SIKKIM,Extreme,44.18
508213,SURYAPET,TELANGANA,Extreme,44.08
795130,IMPHAL EAST,MANIPUR,Extreme,43.94
515301,Sri Sathya Sai,ANDHRA PRADESH,Extreme,43.81
751002,KHORDHA,ODISHA,Extreme,43.76
605102,PONDICHERRY,PUDUCHERRY,Extreme,43.71
507301,BHADRADRI KOTHAGUDEM,TELANGANA,Extreme,43.68
515110,Sri Sathya Sai,ANDHRA PRADESH,Extreme,43.66
700135,24 PARAGANAS NORTH,WEST BENGAL,Extreme,43.65
854337,KATIHAR,BIHAR,Extreme,43.56
504106,Nirmal,TELANGANA,Extreme,43.52
754004,PURI,ODISHA,Extreme,43.46
400067,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,43.45
152022,FIROZEPUR,PUNJAB,Extreme,43.41
502032,SANGAREDDY,TELANGANA,Extreme,43.36
509203,NAGARKURNOOL,TELANGANA,Extreme,43.35
400097,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,43.29
515521,Sri Sathya Sai,ANDHRA PRADESH,Extreme,43.27
606107,KALLAKURICHI,TAMIL NADU,Extreme,43.23
506168,JAYASHANKAR BHUPALAPALLY,TELANGANA,Extreme,43.18
509128,JOGULAMBA GADWAL,TELANGANA,Extreme,43.11
606301,CUDDALORE,TAMIL NADU,Extreme,43.06
509131,WANAPARTHY,TELANGANA,Extreme,42.97
713302,PASCHIM BARDHAMAN,WEST BENGAL,Extreme,42.94
506015,HANUMAKONDA,TELANGANA,Extreme,42.92
508206,SURYAPET,TELANGANA,Extreme,42.88
509321,RANGA REDDY,TELANGANA,Extreme,42.81
505184,PEDDAPALLI,TELANGANA,Extreme,42.74
400086,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,42.71
835216,WEST SINGHBHUM,JHARKHAND,Extreme,42.63
506163,HANUMAKONDA,TELANGANA,Extreme,42.62
500092,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,42.59
495119,Gaurella Pendra Marwahi,CHHATTISGARH,Extreme,42.57
735122,JALPAIGURI,WEST BENGAL,Extreme,42.52
497225,BALRAMPUR,CHHATTISGARH,Extreme,42.48
515411,ANANTAPUR,ANDHRA PRADESH,Extreme,42.37
713146,PURBA BARDHAMAN,WEST BENGAL,Extreme,42.16
110043,WEST,DELHI,Extreme,42.11
515641,Sri Sathya Sai,ANDHRA PRADESH,Extreme,41.87
721507,Jhargram,WEST BENGAL,Extreme,41.8
504103,Nirmal,TELANGANA,Extreme,41.77
493885,GARIYABAND,CHHATTISGARH,Extreme,41.71
504296,KUMURAM BHEEM ASIFABAD,TELANGANA,Extreme,41.65
515801,ANANTAPUR,ANDHRA PRADESH,Extreme,41.64
506302,JANGOAN,TELANGANA,Extreme,41.64
506371,HANUMAKONDA,TELANGANA,Extreme,41.56
504299,KUMURAM BHEEM ASIFABAD,TELANGANA,Extreme,41.55
400064,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,41.48
799105,Gomati,TRIPURA,Extreme,41.46
506101,MAHABUBABAD,TELANGANA,Extreme,41.39
713101,PURBA BARDHAMAN,WEST BENGAL,Extreme,41.34
