pincode,district,state,severity,Criticality_Index
452010,INDORE,MADHYA PRADESH,Extreme,23.56
400043,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,23.46
431712,NANDED,MAHARASHTRA,Extreme,23.24
494001,RAIPUR,CHHATTISGARH,Extreme,23.18
421306,THANE,MAHARASHTRA,Extreme,22.97
457661,JHABUA,MADHYA PRADESH,Extreme,22.92
243503,BAREILLY,UTTAR PRADESH,Extreme,22.77
732125,MALDAH,WEST BENGAL,Extreme,22.75
151001,BATHINDA,PUNJAB,Extreme,22.5
845438,PASHCHIM CHAMPARAN,BIHAR,Extreme,22.48
855107,KISHANGANJ,BIHAR,Extreme,22.47
733202,DINAJPUR UTTAR,WEST BENGAL,Extreme,22.24
431715,NANDED,MAHARASHTRA,Extreme,22.22
425001,JALGAON,MAHARASHTRA,Extreme,22.18
341001,NAGAUR,RAJASTHAN,Extreme,22.17
121102,PALWAL,HARYANA,Extreme,21.98
445204,YAVATMAL,MAHARASHTRA,Extreme,21.93
221001,VARANASI,UTTAR PRADESH,Extreme,21.92
431513,HINGOLI,MAHARASHTRA,Extreme,21.88
431401,PARBHANI,MAHARASHTRA,Extreme,21.83
131001,SONIPAT,HARYANA,Extreme,21.82
454001,DHAR,MADHYA PRADESH,Extreme,21.75
495115,MUNGELI,CHHATTISGARH,Extreme,21.72
854317,KATIHAR,BIHAR,Extreme,21.7
261201,,,Extreme,21.64
413304,SOLAPUR,MAHARASHTRA,Extreme,21.63
456006,UJJAIN,MADHYA PRADESH,Extreme,21.56
444001,AKOLA,MAHARASHTRA,Extreme,21.48
495668,JANJGIR-CHAMPA,CHHATTISGARH,Extreme,21.12
246725,BIJNOR,UTTAR PRADESH,Extreme,21.06
480001,CHHINDWARA,MADHYA PRADESH,Extreme,21.01
493773,DHAMTARI,CHHATTISGARH,Extreme,20.97
452016,INDORE,MADHYA PRADESH,Extreme,20.84
454446,DHAR,MADHYA PRADESH,Extreme,20.79
854311,ARARIA,BIHAR,Extreme,20.77
261001,SITAPUR,UTTAR PRADESH,Extreme,20.65
110018,WEST,DELHI,Extreme,20.53
123401,REWARI,HARYANA,Extreme,20.43
425412,NANDURBAR,MAHARASHTRA,Extreme,20.41
143505,GURDASPUR,PUNJAB,Extreme,20.4
243201,BAREILLY,UTTAR PRADESH,Extreme,20.39
262804,KHERI,UTTAR PRADESH,Extreme,20.19
141008,LUDHIANA,PUNJAB,Extreme,20.16
495445,KORBA,CHHATTISGARH,Extreme,20.09
247776,SHAMLI,UTTAR PRADESH,Extreme,19.93
410206,RAIGAD,MAHARASHTRA,Extreme,19.89
244924,RAMPUR,UTTAR PRADESH,Extreme,19.71
110034,NORTH WEST,DELHI,Extreme,19.69
477001,BHIND,MADHYA PRADESH,Extreme,19.66
470880,DAMOH,MADHYA PRADESH,Extreme,19.54
244302,SAMBHAL,UTTAR PRADESH,Extreme,19.5
476337,SHEOPUR,MADHYA PRADESH,Extreme,19.48
496001,RAIGARH,CHHATTISGARH,Extreme,19.45
733207,DINAJPUR UTTAR,WEST BENGAL,Extreme,19.43
442001,WARDHA,MAHARASHTRA,Extreme,19.14
470661,DAMOH,MADHYA PRADESH,Extreme,19.11
